restaurant_id,cuisine
1,North Indian
1,Mughlai
1,Chinese
2,Chinese
2,North Indian
2,Thai
3,Cafe
3,Mexican
3,Italian
4,South Indian
4,North Indian
5,North Indian
5,Rajasthani
6,North Indian
7,North Indian
7,South Indian
7,Andhra
7,Chinese
8,Pizza
8,Cafe
8,Italian
9,Cafe
9,Italian
9,Continental
10,Cafe
10,Mexican
10,Italian
10,Momos
10,Beverages
11,Cafe
12,Cafe
12,Italian
12,Continental
13,Cafe
13,Chinese
13,Continental
13,Italian
14,Cafe
14,Continental
15,Cafe
16,Cafe
16,Fast Food
16,Continental
16,Chinese
16,Momos
17,Chinese
17,Cafe
17,Italian
18,Cafe
18,Italian
18,American
19,Cafe
19,Chinese
19,Continental
19,Italian
20,Cafe
20,French
20,North Indian
21,Cafe
21,Pizza
21,Fast Food
21,Beverages
22,Cafe
22,Fast Food
23,Italian
23,Fast Food
23,Cafe
23,European
24,Cafe
25,Cafe
25,Bakery
26,Cafe
26,South Indian
27,Cafe
27,Fast Food
27,Beverages
28,Cafe
28,Fast Food
29,North Indian
29,Cafe
29,Chinese
29,Fast Food
30,Cafe
30,Italian
31,North Indian
31,Fast Food
31,Chinese
31,Burger
32,Bakery
32,Desserts
33,Pizza
34,North Indian
34,Biryani
34,Fast Food
35,Biryani
36,North Indian
36,Chinese
36,Fast Food
37,Chinese
37,Thai
37,Momos
38,North Indian
38,Mughlai
38,South Indian
38,Chinese
39,South Indian
40,Street Food
40,Fast Food
41,South Indian
42,Burger
42,Fast Food
43,Pizza
43,Fast Food
44,North Indian
44,Continental
44,Italian
45,North Indian
45,Chinese
46,North Indian
46,Chinese
46,Biryani
46,Rolls
47,Chinese
47,Thai
48,North Indian
48,Chinese
48,Momos
48,Rolls
49,North Indian
50,Fast Food
50,Street Food
50,Beverages
51,Ice Cream
51,Desserts
52,Biryani
52,North Indian
52,Chinese
52,Andhra
52,South Indian
53,Italian
53,Continental
53,Fast Food
53,Chinese
53,Momos
54,Healthy Food
54,Chinese
54,Biryani
54,North Indian
54,Continental
54,Salad
54,American
54,Burger
55,Biryani
55,Fast Food
56,Asian
56,Korean
56,Indonesian
56,Japanese
56,Chinese
56,Thai
56,Momos
57,Fast Food
57,Burger
58,Desserts
58,Beverages
59,Italian
59,North Indian
59,Mexican
60,Goan
60,Seafood
60,North Indian
60,Chinese
60,Biryani
61,Chinese
62,North Indian
62,Chinese
63,Bakery
64,North Indian
64,Kebab
64,Chinese
64,Fast Food
65,South Indian
66,Continental
66,Italian
66,Mexican
66,North Indian
66,Chinese
66,Steak
67,Bakery
67,Desserts
68,Burger
68,Fast Food
68,Beverages
69,Italian
69,North Indian
69,Biryani
70,Biryani
70,Chinese
70,Kebab
71,North Indian
72,Chinese
72,Continental
72,Italian
72,North Indian
73,Fast Food
73,Rolls
73,Momos
74,Street Food
74,Fast Food
75,South Indian
76,Biryani
76,South Indian
77,Fast Food
78,South Indian
78,Chinese
78,North Indian
79,Seafood
79,North Indian
79,Chinese
79,Andhra
79,Biryani
79,Kebab
80,Beverages
80,Desserts
80,Ice Cream
81,Mithai
81,Street Food
82,North Indian
82,Chinese
83,South Indian
83,Chinese
84,Bakery
84,Desserts
85,Biryani
85,North Indian
85,Chinese
86,North Indian
87,Desserts
88,Biryani
89,Bakery
89,Desserts
90,South Indian
91,South Indian
92,Ice Cream
93,North Indian
94,South Indian
94,North Indian
94,Chinese
95,Fast Food
95,Bakery
96,North Indian
96,Iranian
97,Fast Food
97,Street Food
98,Ice Cream
98,Desserts
98,Beverages
98,Sandwich
99,South Indian
100,South Indian
101,South Indian
101,Biryani
102,Bakery
103,Bakery
103,Desserts
104,Biryani
104,North Indian
104,Chinese
104,Fast Food
105,Beverages
106,Biryani
107,North Indian
108,Sandwich
108,Pizza
108,Beverages
109,North Indian
110,Bakery
110,Desserts
111,Mithai
112,Bakery
113,North Indian
113,Street Food
114,South Indian
115,Ice Cream
115,Desserts
115,Juices
116,Mangalorean
116,South Indian
116,North Indian
117,Chinese
117,North Indian
118,South Indian
118,North Indian
118,Chinese
118,Street Food
119,Mangalorean
119,South Indian
119,North Indian
120,Fast Food
120,South Indian
121,Street Food
121,Fast Food
122,Ice Cream
122,Desserts
123,South Indian
123,North Indian
123,Continental
124,Biryani
124,Chinese
124,South Indian
124,North Indian
125,South Indian
126,Rolls
126,North Indian
127,South Indian
128,Biryani
128,Rolls
128,Chinese
129,North Indian
130,Biryani
130,Fast Food
131,Beverages
131,Juices
132,Beverages
132,Fast Food
132,Juices
133,South Indian
134,South Indian
134,Chinese
135,Andhra
136,Biryani
137,South Indian
137,Biryani
138,Desserts
139,Healthy Food
139,Juices
139,Sandwich
140,South Indian
140,Biryani
141,Pizza
141,Fast Food
142,South Indian
142,Beverages
143,South Indian
143,North Indian
143,Chinese
144,North Indian
144,Chinese
145,South Indian
146,South Indian
146,North Indian
146,Chinese
146,Beverages
147,South Indian
147,Chinese
147,North Indian
147,Juices
148,North Indian
148,Kebab
148,Biryani
148,Chinese
149,Chinese
149,North Indian
149,Mughlai
149,Rolls
150,North Indian
150,Mughlai
150,Fast Food
151,Burger
151,Fast Food
152,Fast Food
153,Desserts
153,Ice Cream
153,Beverages
