restaurant_id,rest_type
1,Casual Dining
2,Casual Dining
3,Cafe
3,Casual Dining
4,Quick Bites
5,Casual Dining
6,Casual Dining
7,Casual Dining
8,Casual Dining
8,Cafe
9,Cafe
10,Cafe
11,Cafe
12,Cafe
13,Cafe
14,Cafe
15,Cafe
16,Cafe
17,Cafe
18,Cafe
19,Cafe
20,Cafe
21,Cafe
22,Cafe
23,Quick Bites
23,Cafe
24,Cafe
25,Cafe
26,Cafe
26,Quick Bites
27,Cafe
28,Cafe
29,Casual Dining
29,Cafe
30,Cafe
31,Quick Bites
32,Delivery
33,Delivery
34,Quick Bites
35,Delivery
36,Quick Bites
37,Casual Dining
38,Casual Dining
39,Quick Bites
40,Quick Bites
41,Mess
42,Quick Bites
43,Quick Bites
44,Delivery
45,Quick Bites
46,Casual Dining
47,Casual Dining
48,Quick Bites
49,Quick Bites
50,Quick Bites
51,Dessert Parlor
52,Casual Dining
53,Quick Bites
54,Delivery
55,Quick Bites
56,Casual Dining
57,Quick Bites
58,Dessert Parlor
59,Casual Dining
60,Casual Dining
61,Quick Bites
62,Casual Dining
63,Bakery
63,Dessert Parlor
64,Quick Bites
65,Quick Bites
66,Pub
67,Bakery
68,Quick Bites
69,Takeaway
69,Delivery
70,Quick Bites
71,Quick Bites
72,Delivery
73,Quick Bites
74,Takeaway
74,Delivery
75,Quick Bites
76,Quick Bites
77,Quick Bites
78,Quick Bites
79,Fine Dining
80,Beverage Shop
81,Sweet Shop
82,Casual Dining
83,Quick Bites
84,Bakery
85,Casual Dining
86,Quick Bites
87,Dessert Parlor
88,Quick Bites
89,Delivery
90,Takeaway
90,Delivery
91,Mess
92,Dessert Parlor
93,Casual Dining
94,Bar
95,Quick Bites
96,Casual Dining
97,Quick Bites
98,Dessert Parlor
99,Quick Bites
100,Quick Bites
101,Quick Bites
102,Takeaway
102,Delivery
103,Bakery
104,Quick Bites
105,Takeaway
105,Delivery
106,Quick Bites
107,Quick Bites
108,Takeaway
108,Delivery
109,Quick Bites
110,Bakery
111,Dessert Parlor
112,Bakery
113,Quick Bites
114,Takeaway
114,Delivery
115,Dessert Parlor
116,Quick Bites
117,Bar
118,Quick Bites
119,Quick Bites
120,Quick Bites
121,Quick Bites
122,Dessert Parlor
123,Delivery
124,Quick Bites
125,Delivery
126,Quick Bites
127,Quick Bites
128,Takeaway
128,Delivery
129,Quick Bites
130,Quick Bites
131,Beverage Shop
132,Beverage Shop
132,Quick Bites
133,Takeaway
133,Delivery
134,Quick Bites
135,Quick Bites
136,Quick Bites
137,Quick Bites
138,Confectionery
139,Quick Bites
139,Beverage Shop
140,Quick Bites
141,Takeaway
141,Delivery
142,Quick Bites
143,Casual Dining
144,Bar
145,Quick Bites
146,Casual Dining
147,Quick Bites
148,Casual Dining
149,Quick Bites
